timestamp,temperature,humidity,pressure,sensor_id
2024-01-01 00:00:00,21.0,66.97,1010.25,S2
2024-01-01 01:00:00,18.43,74.78,1009.02,S2
2024-01-01 02:00:00,22.08,68.96,1015.1,S3
2024-01-01 03:00:00,18.41,75.7,1010.88,S3
2024-01-01 04:00:00,23.53,71.2,1016.66,S2
2024-01-01 05:00:00,16.09,74.75,1005.84,S2
2024-01-01 06:00:00,18.95,65.94,1011.27,S1
2024-01-01 07:00:00,21.29,79.56,1010.94,S1
2024-01-01 08:00:00,22.41,80.48,1030.9,S1
2024-01-01 09:00:00,18.71,72.24,1016.13,S1
2024-01-01 10:00:00,18.36,89.01,1021.45,S1
2024-01-01 11:00:00,20.38,78.8,1031.41,S3
2024-01-01 12:00:00,23.9,73.71,1015.52,S1
2024-01-01 13:00:00,17.02,72.54,1010.71,S2
2024-01-01 14:00:00,19.47,71.09,1003.13,S3
2024-01-01 15:00:00,20.63,72.05,1000.67,S1
2024-01-01 16:00:00,18.52,74.45,991.42,S1
2024-01-01 17:00:00,18.52,74.78,1021.85,S1
2024-01-01 18:00:00,19.66,67.98,1017.58,S2
2024-01-01 19:00:00,20.72,81.77,1010.67,S1
2024-01-01 20:00:00,19.75,78.93,1010.42,S2
2024-01-01 21:00:00,23.08,84.23,1003.0,S2
2024-01-01 22:00:00,21.34,76.84,1017.96,S1
2024-01-01 23:00:00,20.93,80.23,1006.98,S1
2024-01-02 00:00:00,22.23,68.75,1010.37,S3
2024-01-02 01:00:00,20.98,78.01,1001.9,S3
2024-01-02 02:00:00,19.3,66.04,1003.64,S3
2024-01-02 03:00:00,19.67,70.14,1022.31,S2
2024-01-02 04:00:00,17.94,87.53,1024.13,S1
2024-01-02 05:00:00,24.22,73.25,1000.63,S3
2024-01-02 06:00:00,22.08,74.9,1018.94,S2
2024-01-02 07:00:00,15.1,78.51,1005.6,S3
2024-01-02 08:00:00,22.9,74.8,1008.01,S3
2024-01-02 09:00:00,17.3,69.89,1025.01,S1
2024-01-02 10:00:00,21.29,70.01,1010.14,S1
2024-01-02 11:00:00,15.84,79.0,1010.06,S2
2024-01-02 12:00:00,19.4,76.49,996.58,S1
2024-01-02 13:00:00,22.95,79.18,1009.62,S3
2024-01-02 14:00:00,23.07,77.93,1006.74,S2
2024-01-02 15:00:00,20.89,75.3,1017.59,S2
2024-01-02 16:00:00,21.86,75.06,1007.58,S2
2024-01-02 17:00:00,17.47,75.48,1025.24,S2
2024-01-02 18:00:00,21.38,73.17,1016.96,S1
2024-01-02 19:00:00,22.01,73.23,1014.97,S3
2024-01-02 20:00:00,25.46,77.5,1020.03,S1
2024-01-02 21:00:00,19.08,82.2,1015.01,S1
2024-01-02 22:00:00,20.36,66.61,1020.27,S2
2024-01-02 23:00:00,20.49,86.93,1011.53,S1
2024-01-03 00:00:00,21.74,78.45,1012.12,S1
2024-01-03 01:00:00,22.11,77.17,1004.95,S3
2024-01-03 02:00:00,22.48,69.95,1005.86,S2
2024-01-03 03:00:00,22.34,71.43,1026.0,S1
2024-01-03 04:00:00,17.41,78.05,1017.67,S2
2024-01-03 05:00:00,15.15,76.24,997.61,S3
2024-01-03 06:00:00,19.36,68.53,1023.58,S1
2024-01-03 07:00:00,20.32,70.68,1014.25,S3
2024-01-03 08:00:00,19.18,71.29,1005.07,S3
2024-01-03 09:00:00,19.49,70.86,1030.86,S2
2024-01-03 10:00:00,19.74,76.34,1025.59,S2
2024-01-03 11:00:00,21.58,69.87,1020.55,S2
2024-01-03 12:00:00,18.36,78.88,1014.59,S1
2024-01-03 13:00:00,20.28,67.56,1016.4,S2
2024-01-03 14:00:00,20.3,79.87,991.33,S1
2024-01-03 15:00:00,21.56,90.28,1020.48,S3
2024-01-03 16:00:00,22.78,78.88,1014.81,S2
2024-01-03 17:00:00,23.83,72.26,1015.42,S3
2024-01-03 18:00:00,18.98,72.48,1015.21,S2
2024-01-03 19:00:00,16.48,69.37,1008.31,S3
2024-01-03 20:00:00,20.0,80.37,1003.51,S1
2024-01-03 21:00:00,17.32,75.8,1013.93,S3
2024-01-03 22:00:00,25.97,65.93,999.67,S1
2024-01-03 23:00:00,18.76,67.71,1015.82,S2
2024-01-04 00:00:00,21.64,66.19,1002.72,S2
2024-01-04 01:00:00,22.39,78.79,1022.66,S2
2024-01-04 02:00:00,21.21,69.97,998.74,S1
2024-01-04 03:00:00,24.69,79.15,1012.56,S2
2024-01-04 04:00:00,20.14,72.19,1013.75,S1
2024-01-04 05:00:00,18.88,78.94,1025.19,S1
2024-01-04 06:00:00,18.79,73.69,1015.56,S3
2024-01-04 07:00:00,22.07,79.73,1004.87,S2
2024-01-04 08:00:00,20.19,71.01,1004.08,S3
2024-01-04 09:00:00,18.81,71.3,1027.47,S1
2024-01-04 10:00:00,21.47,72.7,1012.63,S3
2024-01-04 11:00:00,22.01,79.14,1011.06,S2
2024-01-04 12:00:00,21.14,69.56,1006.05,S1
2024-01-04 13:00:00,22.41,72.09,1000.87,S3
2024-01-04 14:00:00,20.79,73.72,1032.01,S2
2024-01-04 15:00:00,19.44,76.97,1013.63,S2
2024-01-04 16:00:00,22.25,72.99,1001.99,S3
2024-01-04 17:00:00,18.86,77.86,1020.42,S1
2024-01-04 18:00:00,18.39,71.23,1018.97,S2
2024-01-04 19:00:00,22.96,79.91,1000.51,S1
2024-01-04 20:00:00,19.96,78.75,1007.15,S2
2024-01-04 21:00:00,24.0,72.1,1017.59,S1
2024-01-04 22:00:00,22.39,78.57,1020.25,S1
2024-01-04 23:00:00,19.83,69.51,1005.38,S2
2024-01-05 00:00:00,21.66,75.77,994.35,S3
2024-01-05 01:00:00,25.75,71.02,1015.46,S3
2024-01-05 02:00:00,22.21,76.53,1021.57,S3
2024-01-05 03:00:00,21.87,74.11,1012.42,S1
2024-01-05 04:00:00,19.53,71.17,1009.94,S3
2024-01-05 05:00:00,24.41,67.1,1028.87,S3
2024-01-05 06:00:00,23.37,73.88,992.88,S2
2024-01-05 07:00:00,19.57,80.92,1020.24,S1
2024-01-05 08:00:00,24.51,76.38,1020.83,S3
2024-01-05 09:00:00,21.08,67.14,1005.28,S2
2024-01-05 10:00:00,19.08,73.79,989.87,S1
2024-01-05 11:00:00,19.57,80.9,1020.58,S2
2024-01-05 12:00:00,22.53,73.41,1016.22,S3
2024-01-05 13:00:00,19.11,70.09,1027.21,S1
2024-01-05 14:00:00,18.58,83.69,1007.35,S1
2024-01-05 15:00:00,19.92,69.55,1014.75,S3
2024-01-05 16:00:00,20.22,73.82,996.22,S2
2024-01-05 17:00:00,19.46,71.88,1020.23,S1
2024-01-05 18:00:00,19.91,78.21,997.68,S1
2024-01-05 19:00:00,22.66,77.36,1012.63,S1
2024-01-05 20:00:00,21.34,70.47,1002.59,S3
2024-01-05 21:00:00,19.81,71.45,1016.38,S2
2024-01-05 22:00:00,19.99,75.64,1011.11,S3
2024-01-05 23:00:00,20.59,76.04,1010.72,S1
2024-01-06 00:00:00,20.71,73.8,1012.38,S2
2024-01-06 01:00:00,20.73,73.41,1013.32,S2
2024-01-06 02:00:00,22.63,68.8,1027.06,S3
2024-01-06 03:00:00,21.28,84.19,1017.72,S3
2024-01-06 04:00:00,21.34,78.13,1006.16,S1
2024-01-06 05:00:00,23.75,74.97,1006.95,S3
2024-01-06 06:00:00,24.66,79.82,1023.14,S3
2024-01-06 07:00:00,18.45,73.92,1002.29,S3
